"LENGTH","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
30,NA,NA,NA,NA,0.5164049,0.344333,NA,NA,NA,NA,NA,NA,NA,0.4475266,NA
31,NA,NA,0.7003466,0.3431132,0.838176,2.33219,NA,NA,NA,NA,0.469,1.1807687,NA,0.5428966,NA
32,NA,NA,2.4195649,NA,0.9277512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9936187,1.1361444,NA,NA
34,NA,NA,NA,NA,0.09508687,NA,NA,NA,NA,NA,NA,0,NA,0.49689771,NA
35,NA,NA,NA,NA,0.3765971,2.4060396,NA,0.19389,NA,NA,NA,NA,NA,NA,0.1166853
36,NA,NA,NA,NA,NA,0.2001176,NA,NA,NA,NA,NA,1.0359819,NA,0.3149178,NA
37,NA,NA,0.2265381,1.87962508,0.85975429,NA,NA,0.19389,NA,NA,NA,0.61362949,NA,0.08608888,NA
38,NA,NA,0.04837838,NA,2.09553096,NA,1.24322826,NA,0.3021363,NA,NA,NA,NA,0.1989007,NA
39,NA,NA,1.5760723,NA,0.3384753,3.0205416,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,0.4692326,NA,1.8305806,0.7168256,NA,NA,NA,NA,NA,0.1365625,NA,NA,NA
41,0.43710004,NA,0.04837838,0.3790203,1.35745221,3.08518222,NA,NA,NA,NA,NA,NA,NA,0.08608888,NA
42,0.23070255,NA,0.69729557,NA,7.45185098,0.20011764,NA,0.19389,0.02349384,NA,NA,0.12578125,NA,0.53220464,NA
43,0.1042441,NA,0.4734877,NA,7.2686527,NA,NA,0.1580097,NA,0.02,NA,0.0459,NA,NA,NA
44,0.11607703,NA,0.06919105,0.2565502,NA,NA,NA,0.1580097,0.06430675,NA,NA,0.30888644,NA,NA,0.01545064
45,0.1945213,NA,0.805618,0.2565502,0.1171881,0.4002353,NA,0.3160194,NA,NA,NA,0.5435093,NA,NA,NA
46,0.5094747,NA,1.4395678,1.4761307,0.6432866,1.7056686,NA,0.1722847,NA,NA,NA,NA,NA,NA,NA
47,0.2687567,NA,0.6804347,NA,0.7181484,NA,NA,0.4637677,NA,NA,NA,0.1060156,NA,NA,NA
48,0.7194927,NA,0.5799256,0.6583938,0.5337628,0.5070901,NA,0.4707998,0.116164,0.3630038,NA,NA,NA,NA,NA
49,0.21125549,NA,2.79448048,1.3092766,1.051663398,0,0.650082335,0.1334733,0.279021646,0.124795767,0.006109494,NA,NA,NA,NA
50,1.1136654,NA,2.0201484,0.8574038,0.5951323,0,1.748799,0,0.1290153,0.3435026,NA,0.009,NA,NA,NA
51,0.7334249,NA,1.3770241,0.3790203,3.0646181,22.4111603,NA,0.1580097,0.5263014,0.7053441,NA,NA,0.4755454,NA,NA
52,0.70749235,NA,2.17144773,1.5444105,0.90715621,17.24422337,1.30016467,0.291483,0.50165138,0.71666036,NA,NA,0.16934837,0.47297702,0.01545064
53,0.9355238,NA,0.87842951,0.1777145,1.75861071,3.55282154,NA,0.2669466,0.57124243,0.01333333,0.01220278,0.14957107,0.24303611,NA,0
54,0.9120235,NA,1.23006095,1.9500933,1.601568915,85.222861623,0.984973235,0.5096111,1.162419211,0.006666667,0.416264677,0.14957107,0.169348371,NA,0
55,0.82081934,NA,2.21645595,0.8362176,7.460457191,16.482682695,NA,0.1580097,0.669899753,0.336148055,0.006093289,NA,0.526528782,NA,0
