Length,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
59.5,0.4936769,1.0965308,0.16955267,0.47882398,0.850109097,0.775992836,0.826091768,0,0,0.224055471,0.46463026,3.230520093,0.173209735,0.750281305,0.63907
60.5,0,0.05087498,0,0.23285765,0,2.323853341,0,0,0.603657804,0,0.128205746,1.652136269,0.296392737,0,2.3498608
61.5,0.3311518,0.99950269,0,0.07130019,0.658661303,0,0,0,0,0.484653708,0.156399592,1.635764908,0.057736578,0,0
62.5,0,0,0.21895123,0.35106439,0.068863113,1.200594001,0.403539186,0,0,0,0.100011901,0.350184199,0.095462464,0.22061962,0.3823228
63.5,0,0.05087498,0.23064928,0,0,0.139891202,0,0,0,0.047817759,0.100011901,1.932826446,0.399861255,0,0
64.5,0,0,0,0,0.621686773,0.445082125,0,0.056934491,0.238756221,0.047817759,0,0,0.047731232,0,0
65.5,0,0,0,0,0.097514332,0.29973764,0,0,0,0,0,0.393032406,0,0,0
66.5,0.1234192,0.10136463,0,0,0,0.145344486,0,0,0,0,0,0,0,0,0
67.5,0,0,0,0,0,0,0,0,0,0,0,0.393032406,0,0,0
68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.5,0,0,0,0,0.12966164,0,0,0,0,0.047849171,0,0,0,0,0
